School_Name,Suburb,VCE_Students,VCE_Completion%,VCE_Median,VCE_Over40%,Postcode,City
Hawkesdale College,HAWKESDALE,31,94,25,0,3287,VIC FAR COUNTRY
Healesville High School,HEALESVILLE,77,97,24,1.4,3777,RINGWOOD
Heathdale Christian College,WERRIBEE,95,100,29,6.5,3030,MELB NORTH WEST
Heatherton Christian College,CLARINDA,48,100,31,13.7,3169,MULGRAVE
Heathmont College,HEATHMONT,74,95,28,3.2,3135,RINGWOOD
Heritage College,OFFICER,33,100,26,2.3,3809,DANDENONG
Heywood and District Secondary College,HEYWOOD,35,100,22,1.6,3304,VIC FAR COUNTRY
Highvale Secondary College,GLEN WAVERLEY,250,96,29,4.3,3150,MULGRAVE
Highview Christian Community College,MARYBOROUGH,75,98,27,4.8,3465,VIC FAR COUNTRY
Hillcrest Christian College,CLYDE NORTH,144,99,29,6.4,3978,FRANKSTON
Holmes Secondary College,MELBOURNE,14,92,26,0,3000,MELBOURNE CITY
Holmes Secondary College,MELBOURNE,14,92,26,0,3001,MELBOURNE CITY
Holmes Secondary College,MELBOURNE,14,92,26,0,3004,MELBOURNE CITY
Holmesglen Institute of TAFE,HOLMESGLEN,0,0,0,0,3148,MULGRAVE
Holmesglen Institute of TAFE,MOORABBIN,76,0,0,0,3189,DANDENONG
Hopetoun P-12 College,HOPETOUN,18,100,27,0,3396,VIC FAR COUNTRY
Hoppers Crossing Secondary College,HOPPERS CROSSING,230,99,28,4.9,3029,MELB NORTH WEST
Horsham College,HORSHAM,148,96,29,6.4,3400,VIC FAR COUNTRY
Horsham College,HORSHAM,148,96,29,6.4,3402,VIC FAR COUNTRY
Hume Anglican Grammar,MICKLEHAM,57,100,28,2.3,3064,MELB NORTH WEST
Hume Central Secondary College,BROADMEADOWS,155,100,23,1.9,3047,MELB NORTH WEST
Huntingtower School,MOUNT WAVERLEY,165,100,37,30,3149,MULGRAVE
Ilim College Boys Campus Dallas,DALLAS,67,100,28,3.8,3047,MELB NORTH WEST
Ilim College of Australia,BROADMEADOWS,100,98,29,7.8,3047,MELB NORTH WEST
Ivanhoe Girls Grammar School,IVANHOE,276,100,34,19.6,3079,HAWTHORN
Ivanhoe Grammar School,IVANHOE,309,99,33,13.2,3079,HAWTHORN
Ivanhoe Grammar School,MERNDA,129,100,34,16.3,3754,PRESTON
John Fawkner College,FAWKNER,60,85,25,1.9,3060,PRESTON
John Monash Science School,CLAYTON,410,100,34,16.8,3168,MULGRAVE
John Paul College,FRANKSTON,213,100,28,3.2,3199,FRANKSTON
Kambrya College,BERWICK,235,97,30,3.3,3806,DANDENONG
Kangan Institute of TAFE,BROADMEADOWS,86,81,19,0,3047,MELB NORTH WEST
Kaniva P-12 College,KANIVA,20,100,30,4.8,3419,VIC FAR COUNTRY
Kardinia International College,BELL POST HILL,291,100,31,9.4,3215,VIC COUNTRY
Keilor Downs College,KEILOR DOWNS,245,100,29,5.9,3038,HAWTHORN
Kensington Community High School,KENSINGTON,7,0,0,0,3031,FOOTSCRAY
Kerang Christian College,KERANG,20,100,27,0,3579,VIC FAR COUNTRY
Kerang Technical High School,KERANG,75,91,26,2.6,3579,VIC FAR COUNTRY
Kew High School,KEW EAST,337,99,30,7.9,3102,HAWTHORN
Keysborough Secondary College,CHANDLER,136,96,27,2.4,,
Keysborough Secondary College,HEATHERHILL,187,99,28,3,,
Kilbreda College,MENTONE,267,100,30,7.3,3194,DANDENONG
Killester College,SPRINGVALE,229,100,31,7.2,3171,MULGRAVE
Kilvington Grammar School,ORMOND,156,100,35,22.2,3204,DANDENONG
Kings College,WARRNAMBOOL,23,100,31,7.4,3280,VIC FAR COUNTRY
Kingswood College,BOX HILL,141,100,32,8.1,3128,FERNTREE GULLY
Kolbe Catholic College,GREENVALE LAKES,154,99,26,1.9,,
Koo Wee Rup Secondary College,KOO WEE RUP,197,97,28,1.1,3981,FRANKSTON
Koonung Secondary College,MONT ALBERT NORTH,252,100,31,8.9,3129,FERNTREE GULLY
Korowa Anglican Girls School,GLEN IRIS,131,100,37,29,3146,HAWTHORN
Korumburra Secondary College,KORUMBURRA,49,88,24,0.7,3950,VIC FAR COUNTRY
Kurnai College,CHURCHILL,282,89,27,1,3842,VIC COUNTRY
Kurunjang Secondary College,MELTON,125,100,22,0.3,3337,MELB NORTH WEST
Kyabram Secondary College,KYABRAM,106,92,24,0.4,3619,VIC FAR COUNTRY
Kyabram Secondary College,KYABRAM,106,92,24,0.4,3620,VIC FAR COUNTRY
Kyneton Secondary College,KYNETON,80,100,27,2.4,3444,VIC FAR COUNTRY
Lake Bolac College,LAKE BOLAC,0,0,0,0,3351,VIC COUNTRY
Lakes Entrance Secondary College,LAKES ENTRANCE,37,100,28,1.5,3909,VIC FAR COUNTRY
Lakeside Lutheran College,PAKENHAM,35,100,28,0,3810,FRANKSTON
Lakeview Senior College,CAROLINE SPRINGS,436,97,28,3.1,3023,FOOTSCRAY
Lalor North Secondary College,EPPING,92,100,26,1.6,3076,RINGWOOD
Lalor Secondary College,LALOR,150,95,29,3.2,3075,RINGWOOD
Lara Secondary College,LARA,139,92,23,0.7,3212,VIC COUNTRY
Lauriston Girls School,ARMADALE,93,100,35,29.7,3143,HAWTHORN
Lavalla Catholic College,TRARALGON,276,99,27,3.1,3844,VIC COUNTRY
Lavers Hill K-12 College,LAVERS HILL,21,100,26,0,3238,VIC FAR COUNTRY
Laverton P-12 College,LAVERTON,61,97,23,0.6,3028,MELB NORTH WEST
Leibler Yavneh College,ELSTERNWICK,124,100,35,27.9,3185,MOORABBIN
Leongatha Secondary College,LEONGATHA,120,92,27,5.7,3953,VIC FAR COUNTRY
Lighthouse Christian College,KEYSBOROUGH,59,100,29,4.4,3173,DANDENONG
Lighthouse Christian College Cranbourne,CRANBOURNE,87,98,30,9,3977,FRANKSTON
Lilydale Heights College,LILYDALE,81,100,26,0.9,3140,RINGWOOD
Lilydale High School,LILYDALE,455,99,28,3.2,3140,RINGWOOD
Little Yarra Steiner School,YARRA JUNCTION,20,100,31,0,3797,RINGWOOD
Loreto College,BALLARAT,216,99,31,6.7,3350,VIC COUNTRY
Loreto College,BALLARAT,216,99,31,6.7,3353,VIC COUNTRY
Loreto Mandeville Hall,TOORAK,208,100,36,27,3142,MOORABBIN
Lorne P-12 College,LORNE,30,100,27,0,3232,VIC FAR COUNTRY
Lowanna College,NEWBOROUGH,186,97,22,0,3825,VIC COUNTRY
Lowther Hall Anglican Grammar School,ESSENDON,234,100,36,25.2,3040,FOOTSCRAY
Loyola College,WATSONIA,265,100,30,3.7,3087,PRESTON
Luther College,CROYDON,333,100,32,9.4,3136,RINGWOOD
Lynall Hall Community School,RICHMOND,33,100,0,0,3121,MOORABBIN
Lyndale Secondary College,DANDENONG NORTH,171,96,26,2.8,3175,DANDENONG
Lyndhurst Secondary College,CRANBOURNE,119,96,25,3,3977,FRANKSTON
MacKillop Catholic Regional College,WERRIBEE,240,93,30,3.5,3030,MELB NORTH WEST
Macleod College,MACLEOD,104,99,25,2.2,3085,HAWTHORN
Macrobertson Girls High School,MELBOURNE,515,100,37,36.6,3000,MELBOURNE CITY
Macrobertson Girls High School,MELBOURNE,515,100,37,36.6,3001,MELBOURNE CITY
