School_Name,Suburb,VCE_Students,VCE_Completion%,VCE_Median,VCE_Over40%
Our Lady of Sion College,Box Hill,217,100,33,11.3
Ouyen Secondary College,Ouyen,19,100,32,7.5
Overnewton Anglican College,Keilor,245,100,30,6.7
Oxley Christian College,Chirnside Park,151,100,32,10
Ozford College,Melbourne,15,100,21,0
Padua College,Mornington,443,99,29,3.9
Pakenham Secondary College,Pakenham,130,100,27,1.8
Parade College,Bundoora,359,100,31,6.6
Parkdale Secondary College,Mordialloc,360,97,29,3.7
Parkville College,Parkville,0,0,0,0
Pascoe Vale Girls Secondary College,Pascoe Vale,266,93,27,2.7
Patterson River Secondary College,Carrum,175,95,28,1.6
Penleigh and Essendon Grammar School,Keilor East,288,100,35,24
Penola Catholic College,Broadmeadows,263,99,29,2.1
Peter Lalor Secondary College,Lalor,30,0,0,0
Phoenix P-12 Community College,Sebastopol,150,99,26,1.9
Pines Learning,East Doncaster,5,0,0,0
Plenty Valley Christian College,Doreen,104,100,30,5.8
Point Cook Senior Secondary College,Point Cook,299,95,27,2.7
Portland Secondary College,Portland,141,97,26,0.6
Presbyterian Ladies College,Burwood,280,100,36,28.5
Presentation College,Windsor,152,99,30,6.6
Preshil The Margaret Lyttle Memorial School,Kew,47,96,29,3
Preston Reservoir Adult Community Education,Reservoir,0,0,0,0
Princes Hill Secondary College,Carlton North,193,98,31,9.9
Rainbow P-12 College,Rainbow,19,100,28,2.5
Red Cliffs Secondary College,Red Cliffs,139,99,24,2.3
Reservoir High School,Reservoir,122,97,27,3
Ringwood Secondary College,Ringwood,351,97,29,6.2
River Nile School,North Melbourne,0,0,0,0
RMIT TAFE,Carlton,266,70,25,1.7
Robinvale P-12 College,Robinvale,48,95,24,1
Rochester Secondary College,Rochester,92,98,27,1.5
Rosebud Secondary College,Rosebud,216,99,28,1.8
Rosehill Secondary College,Niddrie,216,99,29,2.4
Rowville Secondary College,Rowville,492,94,27,1.5
Roxburgh College,Roxburgh Park,253,92,25,1.3
Rushworth P-12 College,Rushworth,18,100,26,0
Rutherglen High School,Rutherglen,66,97,26,3
Ruyton Girls School,Kew,160,100,36,26.8
Sacre Coeur,Glen Iris,156,100,36,26.3
Sacred Heart College,Kyneton,180,100,31,9.4
Sacred Heart College,Newtown,387,100,34,13.6
Sacred Heart College,Yarrawonga,53,100,28,1
Sacred Heart Girls College,Hughesdale,213,100,34,13.6
Saint Ignatius College,Drysdale,195,100,32,7.9
Sale College,Sale,160,96,25,0.9
Salesian College,Chadstone,229,100,31,5
Salesian College,Sunbury,205,99,29,2.3
Sandringham College,Sandringham,277,97,29,3.5
Santa Maria College,Northcote,220,100,31,10.1
Scoresby Secondary College,Scoresby,50,100,24,0
Scotch College,Hawthorn,439,100,36,26.8
Seda Group,Hawthorn East,451,0,0,0
Seymour College,Seymour,85,88,25,2.6
Shelford Girls Grammar,Caulfield,137,100,36,25.4
Shepparton Adult and Community Education,Shepparton,4,0,0,0
Shepparton Christian College,Shepparton,33,100,28,10.5
Shepparton High School,Shepparton,125,84,24,2
Sherbrooke Community School,Sassafras,28,80,25,2.6
Siena College,Camberwell,164,100,34,14.3
Simonds Catholic College,Fitzroy North,107,98,31,4.2
Sirius College Broadmeadows Campus,Broadmeadows,138,100,31,9.4
Sirius College Dandenong Campus,Keysborough,65,100,29,5.5
Sirius College Meadow Fair Campus,Broadmeadows,149,100,33,12.4
Skillsplus,Frankston,0,0,0,0
Somerville Secondary College,Somerville,47,94,25,2
South Oakleigh Secondary College,South Oakleigh,84,97,29,3
South West Institute of TAFE,Warrnambool,26,0,0,0
Southern Cross Grammar,Caroline Springs,16,0,34,8.3
Southern Grampians Adult Edu,Hamilton,8,0,0,0
St Albans Secondary College,St Albans,257,95,30,8.4
St Aloysius College,North Melbourne,110,100,32,4.9
St Andrews Christian College,Wantirna South,58,100,32,10.8
St Arnaud Secondary College,St Arnaud,30,100,26,1
St Augustines College,Kyabram,69,93,29,3.8
St Bedes College,Mentone,349,100,31,7.9
St Bernards College,Essendon,314,100,31,8
St Brigids College,Horsham,104,98,28,2.7
St Catherines School,Toorak,161,100,34,20
St Columbas College,Essendon,237,100,32,11.9
St Francis Xavier College,Beaconsfield,513,99,29,4.3
St Helena Secondary College,Eltham,389,99,30,5.7
St Johns Greek Orthodox College,Preston,19,100,26,3.4
St Johns Regional College,Dandenong,204,99,28,3
St Josephs College,Echuca,261,96,28,1.8
St Josephs College,Ferntree Gully,270,99,30,6.4
St Josephs College,Mildura,173,100,29,6.3
St Josephs College,Newtown,387,99,31,10
St Kevins College,Toorak,371,100,37,30.8
St Leonards College,Brighton East,174,100,34,15.9
St Margarets School,Berwick,97,100,35,20.4
St Mary MacKillop College,Swan Hill,113,100,29,4.6
St Mary of the Angels School,Nathalia,141,100,27,1.9
St Marys Coptic Orthodox College,Coolaroo,120,100,27,7.6
St Michaels Grammar School,St Kilda,189,100,33,15.3
St Monicas College,Epping,383,100,30,6.6
St Patricks College,Ballarat,357,98,29,3.2
St Pauls Anglican Grammar School,Warragul,198,99,32,10.2
St Peters College,Cranbourne,287,100,27,2.3
St Thomas Aquinas College,Tynong,25,100,28,2.9
Star of the Sea College,Gardenvale,268,100,33,14.8
Staughton College,Melton South,139,94,26,0.6
Stawell Secondary College,Stawell,67,97,24,0.7
Stotts Colleges,Melbourne,24,100,27,6.2
Strathcona Baptist Girls Grammar School,Canterbury,163,100,36,25.8
Strathmore Secondary College,Strathmore,371,98,32,9
Sunbury College,Sunbury,200,97,27,2
Sunbury Downs Secondary College,Sunbury,141,96,31,4.6
Sunraysia Institute of TAFE,Mildura,4,0,0,0
Sunshine College,Sunshine,168,96,29,2.2
Surf Coast Secondary College,Torquay,129,100,28,2
Suzanne Cory High School,Werribee,403,100,35,19.7
Swan Hill College,Swan Hill,199,99,25,3
Swifts Creek P-12 School,Swifts Creek,11,100,29,15.8
Swinburne Senior Secondary College,Hawthorn,262,91,28,0.8
Swinburne University of Technology TAFE Division,Prahran,24,0,0,0
Sydney Road Community School,Brunswick,18,83,23,0
Tallangatta Secondary College,Tallangatta,85,100,28,0.5
Tarneit Senior College,Tarneit,160,97,26,0.6
Taylors Lakes Secondary College,Taylors Lakes,269,99,27,2.3
Templestowe College,Lower Templestowe,275,85,28,2.9
Terang College Secondary Campus,Terang,35,100,29,5.3
The Centre,Wangaratta,0,0,0,0
The David Scott School,Frankston,10,0,0,0
The Geelong College,Newtown,243,99,34,19.1
The Grange P-12 College,Hoppers Crossing,158,94,25,1.4
The Hamilton and Alexandra College,Hamilton,127,100,32,12.7
The King David School,Armadale,124,100,36,25.3
The Knox School,Wantirna South,134,100,32,8.5
The Peninsula School,Mt Eliza,284,100,33,14.9
Thomas Carr College,Tarneit,317,99,27,1.3
Thomastown Secondary College,Thomastown,87,95,23,1.9
Thornbury High School,Thornbury,202,98,30,4.5
Timboon P-12 School,Timboon,35,100,28,0
Tintern Grammar,Ringwood East,128,100,31,8.5
Toorak College,Mt Eliza,133,100,34,17.7
Trafalgar High School,Trafalgar,120,100,28,3.7
Traralgon College,Traralgon,125,90,23,0
Trinity College,Colac,176,96,27,4.6
Trinity Grammar School,Kew,255,100,36,24.7
Tyrrell College,Sea Lake,32,100,29,10.4
University High School,Parkville,462,100,32,14.8
Upper Yarra Secondary College,Yarra Junction,85,95,26,1.7
Upwey High School,Upwey,153,87,27,1.7
Vermont Secondary College,Vermont,277,100,31,8.3
Victoria University of Technology TAFE,Footscray,56,74,19,0.8
Victoria University Secondary College Brimbank Campus,St Albans,179,91,27,2.6
Victorian College for the Deaf,Melbourne,0,0,0,0
Victorian College of the Arts Secondary School,Southbank,195,94,35,23.3
Victory Christian College,Strathdale,57,100,29,5.2
Victory Lutheran College,Wodonga,65,97,31,11
